Size;add(E);addAll(Collection);ceiling(E);clear();constructor(Collection);comparator();constructor(Comparator);contains(Object);constructor();descendingIterator();descendingSet();descendingSet().iterator();first();floor(E);headSet().iterator();headSet(E);headSet(E,boolean);higher(E);isEmpty();iterator();last();lower(E);pollFirst();pollLast();remove(Object);size();constructor(SortedSet);subSet(E,boolean,E,boolean);subSet().iterator();subSet(E,E);tailSet().iterator();tailSet(E);tailSet(E,boolean)
10000;95.46;1158879.93;96.84;0.53;1279197.75;0.55;1.28;96.59;6.44;71411.86;1.36;109265.25;9.17;107.34;254760.57;1.64;1.67;103.22;0.52;72441.40;8.25;100.92;0.53;0.64;2.03;0.52;686910.00;3.35;266003.26;3.32;247993.00;1.48;1.45
20000;107.27;2612986.11;112.00;0.53;2592366.83;0.54;1.29;112.86;4.58;180396.06;1.30;244311.64;8.30;109.34;565458.28;1.61;1.66;121.10;0.52;171411.50;9.96;118.10;0.52;0.54;1.96;0.52;1681213.22;3.32;577220.98;3.18;580796.82;1.54;1.46
30000;114.56;4372273.30;116.12;0.52;4152025.97;0.53;1.35;117.10;4.89;281482.95;1.28;409255.99;8.97;118.72;887681.21;1.67;1.62;127.77;0.52;285397.15;9.68;123.97;0.52;0.66;2.13;0.54;2944604.64;3.37;894055.04;3.36;873605.23;1.46;1.48
40000;122.27;6086091.97;137.44;0.53;5844517.07;0.53;1.48;121.14;5.48;384897.17;1.34;489707.29;9.05;126.49;1202106.45;1.71;1.62;135.50;0.52;383392.73;10.36;133.22;0.52;0.54;2.12;0.52;4018188.07;3.35;1242216.84;3.29;1196173.80;1.57;1.48
50000;127.43;8050290.88;125.60;0.52;7681731.06;0.55;1.35;129.16;4.35;452927.44;1.26;635406.67;9.58;128.93;1504610.78;1.62;1.62;140.92;0.52;464480.79;10.33;139.48;0.53;0.57;2.10;0.55;5325163.85;3.39;1518582.83;3.30;1496708.69;1.46;1.47
60000;131.99;9780758.81;131.18;0.53;9698175.73;0.52;1.32;130.43;4.43;608492.87;1.28;768401.90;10.32;135.02;1846790.70;1.63;1.62;141.37;0.54;601641.94;11.22;143.13;0.52;0.65;2.03;0.54;7210400.97;3.34;1873528.82;3.19;1813497.15;1.47;1.47
70000;134.80;11473846.15;134.34;0.63;11293086.11;0.56;1.40;136.78;4.61;703572.38;1.32;906612.89;10.28;139.09;2178351.19;1.63;1.63;146.14;0.53;704255.02;10.35;147.92;0.52;0.56;2.14;0.55;8851145.66;3.24;2203488.57;3.31;2134851.87;1.61;1.49
80000;137.06;13716963.14;142.44;0.54;13743793.13;0.52;1.32;135.41;6.14;815181.99;1.29;1009387.52;10.38;138.98;2507545.98;1.63;1.65;151.47;0.52;803588.56;10.25;152.53;0.52;0.55;2.16;0.52;9695601.05;3.20;2531949.35;3.30;2471042.19;1.53;1.50
90000;147.84;15688772.12;144.13;0.53;15483467.17;0.52;1.40;141.14;4.33;890860.14;1.36;1152016.50;10.34;142.46;2794481.25;1.73;1.67;153.84;0.54;873477.95;10.35;153.41;0.52;0.55;2.04;0.52;11055208.35;3.35;2982793.25;3.31;2784550.36;1.50;1.50
100000;146.58;18108852.65;144.01;0.52;19089556.37;0.54;1.32;155.39;4.61;1007737.17;1.32;1301813.03;11.21;150.20;3198276.50;1.64;1.66;155.62;0.52;1018338.71;10.37;155.43;0.54;0.56;2.26;0.56;12289938.26;3.32;3178715.29;3.35;3137475.01;1.48;1.50
