Size;add(E);addAll(Collection);ceiling(E);clear();constructor(Collection);comparator();constructor(Comparator);contains(Object);constructor();descendingIterator();descendingSet();descendingSet().iterator();first();floor(E);headSet().iterator();headSet(E);headSet(E,boolean);higher(E);isEmpty();iterator();last();lower(E);pollFirst();pollLast();remove(Object);size();constructor(SortedSet);subSet(E,boolean,E,boolean);subSet().iterator();subSet(E,E);tailSet().iterator();tailSet(E);tailSet(E,boolean)
10000;95.32;1148809.57;94.41;0.58;1178602.45;0.53;1.38;96.71;4.73;71954.93;1.30;98373.10;8.82;95.89;255314.36;1.65;1.61;103.71;0.53;71406.77;8.11;101.28;0.52;0.52;2.04;0.55;715828.13;3.46;254652.62;3.32;269919.96;1.53;1.54
20000;110.14;2626920.72;107.41;0.53;2627329.14;0.53;1.33;108.76;4.78;180211.23;1.27;229473.05;8.18;111.36;578808.56;1.64;1.61;120.36;0.54;170461.17;8.82;118.13;0.52;0.52;2.12;0.53;1767549.11;3.34;582640.61;3.32;592175.41;1.49;1.52
30000;114.28;4555034.66;115.43;0.58;4286005.19;0.52;1.42;120.48;4.63;285365.33;1.24;365171.21;9.00;125.20;898116.00;1.63;1.62;127.45;0.52;278166.68;9.49;125.15;0.63;0.52;2.16;0.54;2859920.50;3.55;992098.62;3.37;910092.93;1.57;1.51
40000;123.40;6512279.08;120.02;0.53;5817478.63;0.52;1.35;127.54;4.43;384586.99;1.33;473343.97;8.91;121.94;1214736.19;1.62;1.65;135.66;0.52;377927.88;10.16;132.28;0.52;0.52;2.13;0.58;3980951.01;3.43;1285176.41;3.71;1195146.00;1.71;1.53
50000;127.00;7736635.14;132.99;0.54;7721472.38;0.52;1.42;126.81;4.27;468710.39;1.47;619263.53;9.51;130.62;1531778.96;1.62;1.62;137.12;0.52;473218.19;10.15;139.06;0.52;0.56;2.12;0.53;5154283.11;3.40;1521130.72;3.59;1504533.31;1.62;1.59
60000;131.79;12215651.49;130.64;0.53;9979132.40;0.54;1.44;133.11;4.46;623274.54;1.28;762028.92;10.16;138.74;1844470.02;1.63;1.62;146.52;0.52;591845.76;10.15;144.71;0.53;0.52;2.07;0.53;6201920.96;3.40;1936027.85;3.72;2018983.32;1.72;1.64
70000;136.91;11914847.68;140.49;0.53;11354336.97;0.54;1.39;139.20;4.35;716679.96;1.44;908738.99;10.24;142.14;2211553.41;1.64;1.63;146.06;0.54;695113.02;10.16;148.88;0.52;0.54;2.17;0.55;7776846.22;3.76;2207311.57;3.33;2260741.57;1.60;1.62
80000;142.04;16673128.14;140.93;0.53;13312610.17;0.52;1.33;139.08;4.33;803890.20;1.31;995740.11;10.15;145.70;2509073.95;1.78;1.63;150.13;0.52;798514.91;10.19;150.32;0.52;0.52;2.05;0.57;8904193.71;3.34;2513224.72;3.21;2551938.40;1.62;1.62
90000;141.09;15421744.51;143.85;0.54;15352591.32;0.52;1.38;140.03;4.37;917030.34;1.33;1124424.63;10.19;144.76;2877302.95;1.70;1.66;153.91;0.52;897858.21;10.21;152.95;0.54;0.56;2.03;0.56;10371951.18;3.38;2945873.33;3.40;2935851.09;1.60;1.57
100000;166.85;17810668.27;148.30;0.54;17793225.27;0.52;1.44;145.40;4.51;1017173.82;1.32;1269011.81;10.23;160.34;3210222.75;1.64;1.65;155.44;0.56;1019693.69;10.22;158.99;0.53;0.55;2.12;0.52;11529998.78;3.43;3202159.61;3.33;3217854.56;1.64;1.68
